No.;CrDeviceProperty;Outline;Mode;ILX-LR1;ILCE-1M2;ILCE-1;ILCE-9M3;ILCE-9M2;ILCE-7RM5;ILCE-7RM4A;ILCE-7RM4;ILCE-7CR;ILCE-7SM3;ILCE-7M5;ILCE-7M4;ILCE-7CM2;ILCE-7C;ILCE-6700;MPC-2610;ILME-FX6;ILME-FX2;ILME-FX3A;ILME-FX3;ILME-FX30;PXW-Z300;PXW-Z200;HXR-NX800;BRC-AM7;ILME-FR7;ZV-E1;ZV-E10M2;DSC-RX1RM3;DSC-RX0M2
188;:ref:`CrDeviceProperty_MoviePrevButton<dp-MoviePrevButton>`;Movie Prev Button;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
189;:ref:`CrDeviceProperty_MovieRecReviewButton<dp-MovieRecReviewButton>`;Movie RecReview Button;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
190;:ref:`CrDeviceProperty_SubjectRecognitionAF<dp-SubjectRecognitionAF>`;Subject Recognition AF;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;✔;✔;\-
191;:ref:`CrDeviceProperty_AFTransitionSpeed<dp-AFTransitionSpeed>`;AF Transition Speed;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;✔;\-;✔;✔;✔;✔;\-;✔;✔;\-
192;:ref:`CrDeviceProperty_AFSubjShiftSens<dp-AFSubjShiftSens>`;AF Subj Shift Sens;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;✔;\-;✔;✔;✔;✔;\-;✔;✔;\-
193;:ref:`CrDeviceProperty_AFAssist<dp-AFAssist>`;AF Assist;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;\-;✔;✔;✔;\-;✔;✔;\-;\-
194;:ref:`CrDeviceProperty_NDFilterSwitchingSetting<dp-NDFilterSwitchingSetting>`;ND Filter Switching Setting;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
195;:ref:`CrDeviceProperty_FunctionOfRemoteTouchOperation<dp-FunctionOfRemoteTouchOperation>`;Function of Remote Touch Operation;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-
196;:ref:`CrDeviceProperty_RemoteTouchOperation<dp-RemoteTouchOperation>`;Remote Touch Operation (x, y);R/T;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
197;:ref:`CrDeviceProperty_MoviePlayingState<dp-MoviePlayingState>`;Movie Playing State;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
198;:ref:`CrDeviceProperty_MoviePlayingSpeed<dp-MoviePlayingSpeed>`;Movie Playing Speed;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
199;:ref:`CrDeviceProperty_MediaSLOT1Player<dp-MediaSLOT1Player>`;Media SLOT1 Player;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
200;:ref:`CrDeviceProperty_MediaSLOT2Player<dp-MediaSLOT2Player>`;Media SLOT2 Player;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
201;:ref:`CrDeviceProperty_BatteryRemainDisplayUnit<dp-BatteryRemainDisplayUnit>`;Battery Remain Display Unit;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\*1;\*1;\-;\-;\-;\-;\*1;\*1;\*1;\-;\-;\-;\-;\-;\-
202;:ref:`CrDeviceProperty_BatteryRemainingInMinutes<dp-BatteryRemainingInMinutes>`;Battery Remaining in Minutes;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
203;:ref:`CrDeviceProperty_BatteryRemainingInVoltage<dp-BatteryRemainingInVoltage>`;Battery Remaining in Voltage;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
204;:ref:`CrDeviceProperty_PowerSource<dp-PowerSource>`;Power Source;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\*1;\*1;\-;\-;\-;\-;\*1;\*1;\*1;\*1;\*1;\-;\-;\-;\-
205;:ref:`CrDeviceProperty_DCVoltage<dp-DCVoltage>`;DC Voltage;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-
206;:ref:`CrDeviceProperty_FocusTouchSpotStatus<dp-FocusTouchSpotStatus>`;Focus TouchSpot Status;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
207;:ref:`CrDeviceProperty_FocusTrackingStatus<dp-FocusTrackingStatus>`;Focus Tracking Status;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
208;:ref:`CrDeviceProperty_RecorderClipName<dp-RecorderClipName>`;Recorder Clip Name;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-;\-;✔;\*1;\*1;\*1;\*1;\*1;\-;\-;\-;\-
209;:ref:`CrDeviceProperty_RecorderControlMainSetting<dp-RecorderControlMainSetting>`;Recorder Control Main Setting;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
210;:ref:`CrDeviceProperty_RecorderControlProxySetting<dp-RecorderControlProxySetting>`;Recorder Control Proxy Setting;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\*1;\*1;✔;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
211;:ref:`CrDeviceProperty_RecorderStartMain<dp-RecorderStartMain>`;Recorder Start Main;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
212;:ref:`CrDeviceProperty_RecorderStartProxy<dp-RecorderStartProxy>`;Recorder Start Proxy;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
213;:ref:`CrDeviceProperty_RecorderMainStatus<dp-RecorderMainStatus>`;Recorder Main Status;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
214;:ref:`CrDeviceProperty_RecorderProxyStatus<dp-RecorderProxyStatus>`;Recorder Proxy Status;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
215;:ref:`CrDeviceProperty_RecorderExtRawStatus<dp-RecorderExtRawStatus>`;Recorder Ext Raw Status;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;✔;\-;\-;\-;\-
216;:ref:`CrDeviceProperty_RecorderSaveDestination<dp-RecorderSaveDestination>`;Recorder Save Destination;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;\-;✔;\-;\-;\-;\-
217;:ref:`CrDeviceProperty_AssignableButtonIndicator1<dp-AssignableButtonIndicator1>`;Assignable Button Indicator 1;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
218;:ref:`CrDeviceProperty_AssignableButtonIndicator2<dp-AssignableButtonIndicator2>`;Assignable Button Indicator 2;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
219;:ref:`CrDeviceProperty_AssignableButtonIndicator3<dp-AssignableButtonIndicator3>`;Assignable Button Indicator 3;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
220;:ref:`CrDeviceProperty_AssignableButtonIndicator4<dp-AssignableButtonIndicator4>`;Assignable Button Indicator 4;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
221;:ref:`CrDeviceProperty_AssignableButtonIndicator5<dp-AssignableButtonIndicator5>`;Assignable Button Indicator 5;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
222;:ref:`CrDeviceProperty_AssignableButtonIndicator6<dp-AssignableButtonIndicator6>`;Assignable Button Indicator 6;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
223;:ref:`CrDeviceProperty_AssignableButtonIndicator7<dp-AssignableButtonIndicator7>`;Assignable Button Indicator 7;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
224;:ref:`CrDeviceProperty_AssignableButtonIndicator8<dp-AssignableButtonIndicator8>`;Assignable Button Indicator 8;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
225;:ref:`CrDeviceProperty_AssignableButtonIndicator9<dp-AssignableButtonIndicator9>`;Assignable Button Indicator 9;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
226;:ref:`CrDeviceProperty_LensAssignableButtonIndicator1<dp-LensAssignableButtonIndicator1>`;LensAssignable Button Indicator 1;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-
227;:ref:`CrDeviceProperty_SoftwareVersion<dp-SoftwareVersion>`;Software Version;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
228;:ref:`CrDeviceProperty_MovieRecButtonToggleEnableStatus<dp-MovieRecButtonToggleEnableStatus>`;Movie Rec Button (Toggle) Enable Status;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
229;:ref:`CrDeviceProperty_RemoteTouchOperationEnableStatus<dp-RemoteTouchOperationEnableStatus>`;Remote Touch Operation Enable Status;R/T;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
230;:ref:`CrDeviceProperty_CancelRemoteTouchOperationEnableStatus<dp-CancelRemoteTouchOperationEnableStatus>`;Cancel Remote Touch Operation Enable Status;R/T;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
231;:ref:`CrDeviceProperty_LensInformationEnableStatus<dp-LensInformationEnableStatus>`;Lens Information Enable Status;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;\-;\-
232;:ref:`CrDeviceProperty_FollowFocusPositionSetting<dp-FollowFocusPositionSetting>`;Follow Focus Position Setting;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-;✔;✔;\-;\-
233;:ref:`CrDeviceProperty_FollowFocusPositionCurrentValue<dp-FollowFocusPositionCurrentValue>`;Follow Focus Position Current Value;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-;✔;✔;\-;\-
234;:ref:`CrDeviceProperty_FocusBracketShotNumber<dp-FocusBracketShotNumber>`;Focus Bracket Shot Num;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-
235;:ref:`CrDeviceProperty_FocusBracketFocusRange<dp-FocusBracketFocusRange>`;Focus Bracket Focus Range;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-
236;:ref:`CrDeviceProperty_FocusBracketShootingStatus<dp-FocusBracketShootingStatus>`;Focus Bracket Shooting Status;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-
237;:ref:`CrDeviceProperty_FunctionOfTouchOperation<dp-FunctionOfTouchOperation>`;Function of Touch Operation;R/T;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
238;:ref:`CrDeviceProperty_Movie_ProxyFileFormat<dp-Movie_ProxyFileFormat>`;Proxy File Format (Movie);R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\*1;\*1;✔;✔;✔;✔;\*1;\*1;\*1;\*1;\*1;✔;✔;✔;\-
239;:ref:`CrDeviceProperty_ExtendedInterfaceMode<dp-ExtendedInterfaceMode>`;Type-C Accessory Mode;R/T;✔;\-;\-;\-;\-;\-;\-;\-;✔;\-;✔;\-;✔;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-
240;:ref:`CrDeviceProperty_SQFrameRate<dp-SQFrameRate>`;S&Q Frame Rate;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;✔;\*1;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
241;:ref:`CrDeviceProperty_SQRecordingFrameRateSetting<dp-SQRecordingFrameRateSetting>`;S&Q Rec Frame Rate;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
242;:ref:`CrDeviceProperty_SQRecordingSetting<dp-SQRecordingSetting>`;S&Q Record Setting;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
243;:ref:`CrDeviceProperty_AudioRecording<dp-AudioRecording>`;Audio Recording;R/T;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
244;:ref:`CrDeviceProperty_AudioInputMasterLevel<dp-AudioInputMasterLevel>`;Audio Input Master Level;R/T;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;✔;\-;✔;✔;✔;\-
245;:ref:`CrDeviceProperty_TimeCodePreset<dp-TimeCodePreset>`;Time Code Preset;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
246;:ref:`CrDeviceProperty_TimeCodeFormat<dp-TimeCodeFormat>`;Time Code Format;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
247;:ref:`CrDeviceProperty_TimeCodeRun<dp-TimeCodeRun>`;Time Code Run;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
248;:ref:`CrDeviceProperty_TimeCodeMake<dp-TimeCodeMake>`;Time Code Make;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
249;:ref:`CrDeviceProperty_UserBitPreset<dp-UserBitPreset>`;User Bit Preset;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
250;:ref:`CrDeviceProperty_UserBitTimeRec<dp-UserBitTimeRec>`;User Bit Time Rec;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
251;:ref:`CrDeviceProperty_ImageStabilizationSteadyShot<dp-ImageStabilizationSteadyShot>`;Image Stabilization Steady Shot;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;\-;\-
252;:ref:`CrDeviceProperty_Movie_ImageStabilizationSteadyShot<dp-Movie_ImageStabilizationSteadyShot>`;Image Stabilization Steady Shot (Movie);R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;✔;\-;✔;✔;✔;✔;\-;✔;✔;\-;\-;✔;✔;✔;\-
253;:ref:`CrDeviceProperty_SilentMode<dp-SilentMode>`;Silent Mode;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-
254;:ref:`CrDeviceProperty_SilentModeApertureDriveInAF<dp-SilentModeApertureDriveInAF>`;Silent Mode Aperture Drive in AF;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-
255;:ref:`CrDeviceProperty_SilentModeShutterWhenPowerOff<dp-SilentModeShutterWhenPowerOff>`;Silent Mode Shutter When Power OFF;R/T;\-;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-
256;:ref:`CrDeviceProperty_SilentModeAutoPixelMapping<dp-SilentModeAutoPixelMapping>`;Silent Mode Auto Pixel Mapping;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-
257;:ref:`CrDeviceProperty_ShutterType<dp-ShutterType>`;Shutter Type;R/T;✔;✔;✔;\-;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;\-;\-;✔;\-
258;:ref:`CrDeviceProperty_PictureProfile<dp-PictureProfile>`;Picture Profile;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
259;:ref:`CrDeviceProperty_PictureProfile_BlackLevel<dp-PictureProfile_BlackLevel>`;Picture Profile BlackLevel;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
260;:ref:`CrDeviceProperty_PictureProfile_Gamma<dp-PictureProfile_Gamma>`;Picture Profile Gamma;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
261;:ref:`CrDeviceProperty_PictureProfile_BlackGammaRange<dp-PictureProfile_BlackGammaRange>`;Picture Profile BlackGamma Range;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
262;:ref:`CrDeviceProperty_PictureProfile_BlackGammaLevel<dp-PictureProfile_BlackGammaLevel>`;Picture Profile BlackGamma Level;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
263;:ref:`CrDeviceProperty_PictureProfile_KneeMode<dp-PictureProfile_KneeMode>`;Picture Profile Knee Mode;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
264;:ref:`CrDeviceProperty_PictureProfile_KneeAutoSet_MaxPoint<dp-PictureProfile_KneeAutoSet_MaxPoint>`;Picture Profile Knee AutoSet MaxPoint;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
265;:ref:`CrDeviceProperty_PictureProfile_KneeAutoSet_Sensitivity<dp-PictureProfile_KneeAutoSet_Sensitivity>`;Picture Profile Knee AutoSet Sensitivity;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
266;:ref:`CrDeviceProperty_PictureProfile_KneeManualSet_Point<dp-PictureProfile_KneeManualSet_Point>`;Picture Profile Knee ManualSet Point;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
267;:ref:`CrDeviceProperty_PictureProfile_KneeManualSet_Slope<dp-PictureProfile_KneeManualSet_Slope>`;Picture Profile Knee ManualSet Slope;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
268;:ref:`CrDeviceProperty_PictureProfile_ColorMode<dp-PictureProfile_ColorMode>`;Picture Profile Color Mode;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
269;:ref:`CrDeviceProperty_PictureProfile_Saturation<dp-PictureProfile_Saturation>`;Picture Profile Saturation;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
270;:ref:`CrDeviceProperty_PictureProfile_ColorPhase<dp-PictureProfile_ColorPhase>`;Picture Profile ColorPhase;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
271;:ref:`CrDeviceProperty_PictureProfile_ColorDepthRed<dp-PictureProfile_ColorDepthRed>`;Picture Profile Color Depth Red;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;\-;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
272;:ref:`CrDeviceProperty_PictureProfile_ColorDepthGreen<dp-PictureProfile_ColorDepthGreen>`;Picture Profile Color Depth Green;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;\-;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
273;:ref:`CrDeviceProperty_PictureProfile_ColorDepthBlue<dp-PictureProfile_ColorDepthBlue>`;Picture Profile Color Depth Blue;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;\-;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
274;:ref:`CrDeviceProperty_PictureProfile_ColorDepthCyan<dp-PictureProfile_ColorDepthCyan>`;Picture Profile Color Depth Cyan;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;\-;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
275;:ref:`CrDeviceProperty_PictureProfile_ColorDepthMagenta<dp-PictureProfile_ColorDepthMagenta>`;Picture Profile Color Depth Magenta;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;\-;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
276;:ref:`CrDeviceProperty_PictureProfile_ColorDepthYellow<dp-PictureProfile_ColorDepthYellow>`;Picture Profile Color Depth Yellow;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;\-;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
