No.;CrDeviceProperty;Outline;Mode;ILX-LR1;ILCE-1M2;ILCE-1;ILCE-9M3;ILCE-9M2;ILCE-7RM5;ILCE-7RM4A;ILCE-7RM4;ILCE-7CR;ILCE-7SM3;ILCE-7M5;ILCE-7M4;ILCE-7CM2;ILCE-7C;ILCE-6700;MPC-2610;ILME-FX6;ILME-FX2;ILME-FX3A;ILME-FX3;ILME-FX30;PXW-Z300;PXW-Z200;HXR-NX800;BRC-AM7;ILME-FR7;ZV-E1;ZV-E10M2;DSC-RX1RM3;DSC-RX0M2
46;:ref:`CrDeviceProperty_CustomWB_Capture_Standby_Cancel<dp-CustomWB_Capture_Standby_Cancel>`;Custom WB Capture Standby Cancel;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
47;:ref:`CrDeviceProperty_CustomWB_Capture<dp-CustomWB_Capture>`;Custom WB Capture;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
48;:ref:`CrDeviceProperty_SnapshotInfo<dp-SnapshotInfo>`;Shooting File Info;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
49;:ref:`CrDeviceProperty_BatteryRemain<dp-BatteryRemain>`;Battery Remaining;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;\-
50;:ref:`CrDeviceProperty_BatteryLevel<dp-BatteryLevel>`;Battery Level Indicator;R/C/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
51;:ref:`CrDeviceProperty_RecordingState<dp-RecordingState>`;Movie Recording State;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
52;:ref:`CrDeviceProperty_LiveViewStatus<dp-LiveViewStatus>`;LiveView Status;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;✔;✔;✔;✔;✔;✔
53;:ref:`CrDeviceProperty_FocusIndication<dp-FocusIndication>`;Focus Indication;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;✔;\-;✔;✔;✔;✔
54;:ref:`CrDeviceProperty_MediaSLOT1_Status<dp-MediaSLOT1_Status>`;Media SLOT1 Status;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔
55;:ref:`CrDeviceProperty_MediaSLOT1_RemainingNumber<dp-MediaSLOT1_RemainingNumber>`;Media SLOT1 Remaining number shots;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
