Code;CrControlCode;CrCommandId;Outline;Mode;ILX-LR1;ILCE-1M2;ILCE-1;ILCE-9M3;ILCE-9M2;ILCE-7RM5;ILCE-7RM4A;ILCE-7RM4;ILCE-7CR;ILCE-7SM3;ILCE-7M5;ILCE-7M4;ILCE-7CM2;ILCE-7C;ILCE-6700;MPC-2610;ILME-FX6;ILME-FX2;ILME-FX3A;ILME-FX3;ILME-FX30;PXW-Z300;PXW-Z200;HXR-NX800;BRC-AM7;ILME-FR7;ZV-E1;ZV-E10M2;DSC-RX1RM3;DSC-RX0M2
0xD2D0;:ref:`CrControlCode_RemoteKeyRight<cc-RemoteKeyRight>`;:ref:`CrCommandId_RemoteKeyRight<command-RemoteKeyRight>`;Remote Key RIGHT;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
0xD2D1;:ref:`CrControlCode_NearFar<cc-NearFar>`;\-;Near/Far;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
0xD2D9;:ref:`CrControlCode_AWBLButton<cc-AWBLButton>`;\-;AWBL Button;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
0xD2DC;:ref:`CrControlCode_AFAreaPosition<cc-AFAreaPosition>`;\-;AF Area Position (x, y);R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;✔
0xD2DD;:ref:`CrControlCode_ZoomOperation<cc-ZoomOperation>`;\-;Zoom Operation;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔
0xD2DF;:ref:`CrControlCode_CustomWBCaptureStandby<cc-CustomWBCaptureStandby>`;\-;Custom WB Capture Standby;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
0xD2E0;:ref:`CrControlCode_CustomWBCaptureStandbyCancel<cc-CustomWBCaptureStandbyCancel>`;\-;Custom WB Capture Standby Cancel;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
0xD2E1;:ref:`CrControlCode_CustomWBCapture<cc-CustomWBCapture>`;\-;Custom WB Capture;R/T;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
0xD2E2;:ref:`CrControlCode_SelectedMediaFormat (Full Format)<cc-SelectedMediaFormat>`;:ref:`CrCommandId_MediaFormat<command-MediaFormat>`;Execute Format the Media;R/T;✔;✔;✔;✔;✔;✔;✔;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;\-
0xD2E2;:ref:`CrControlCode_SelectedMediaFormat (Quick Format)<cc-SelectedMediaFormat>`;:ref:`CrCommandId_MediaQuickFormat<command-MediaQuickFormat>`;Execute Quick Format the Media;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;\-
0xD2E3;:ref:`CrControlCode_HighResolutionShutterSpeedAdjust<cc-HighResolutionShutterSpeedAdjust>`;\-;High Resolution SS Adjust;R/T;✔;✔;✔;✔;\-;✔;\-;\-;\-;\-;✔;\-;\-;\-;\-;\-;\-;✔;\-;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-
0xD2E4;:ref:`CrControlCode_RemoteTouchOperation<cc-RemoteTouchOperation>`;\-;Remote Touch Operation (x, y);R/T;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
0xD2E5;:ref:`CrControlCode_CancelRemoteTouchOperation<cc-CancelRemoteTouchOperation>`;:ref:`CrCommandId_CancelRemoteTouchOperation<command-CancelRemoteTouchOperation>`;Cancel Remote Touch Operation;R/T;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;✔;\-
0xD2E6;:ref:`CrControlCode_S1AndS2Button<cc-S1AndS2Button>`;:ref:`CrCommandId_S1andRelease<command-S1andRelease>`;Shutter Half Release and Release;R/T;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
0xD2E7;:ref:`CrControlCode_CancelMediaFormat<cc-CancelMediaFormat>`;:ref:`CrCommandId_CancelMediaFormat<command-CancelMediaFormat>`;Cancel Media Format;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;✔;✔;\-;\-;✔;✔;✔;\-
0xD2E9;:ref:`CrControlCode_SaveZoomAndFocusPosition<cc-SaveZoomAndFocusPosition>`;\-;Save Zoom and Focus Position;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;\-;\-
0xD2EA;:ref:`CrControlCode_LoadZoomAndFocusPosition<cc-LoadZoomAndFocusPosition>`;\-;Load Zoom and Focus Position;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;\-;\-
0xD2EB;:ref:`CrControlCode_APS_C_or_Full_Switching<cc-APS_C_or_Full_Switching>`;:ref:`CrCommandId_APS_C_or_Full_Switching<command-APS_C_or_Full_Switching>`;APS-C or Full Switching;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-;✔;\-;\-;\-
0xD2EC;:ref:`CrControlCode_ColorTemperatureStep<cc-ColorTemperatureStep>`;\-;Color Temperature Step;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
0xD2ED;:ref:`CrControlCode_WhiteBalanceTintStep<cc-WhiteBalanceTintStep>`;\-;White Balance Tint Step;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
0xD2EE;:ref:`CrControlCode_ResetMultiMatrix<cc-ResetMultiMatrix>`;:ref:`CrCommandId_ResetMultiMatrix<command-ResetMultiMatrix>`;Reset Multi Matrix;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-
0xD2EF;:ref:`CrControlCode_FocusOperation<cc-FocusOperation>`;\-;Focus Operation;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;✔;✔;✔;✔;✔;\-;\-;\-;\-
0xD2F0;:ref:`CrControlCode_HighResolutionShutterSpeedAdjustInIntegralMultiples<cc-HighResolutionShutterSpeedAdjustInIntegralMultiples>`;\-;High Resolution SS Adjust In Integral Multiples;R/T;✔;✔;\-;✔;\-;✔;\-;\-;\-;\-;✔;\-;\-;\-;\-;\-;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-
0xD2F1;:ref:`CrControlCode_FlickerScan<cc-FlickerScan>`;:ref:`CrCommandId_FlickerScan<command-FlickerScan>`;Flicker Scan;R/T;✔;✔;\-;✔;\-;✔;\-;\-;✔;\-;✔;\-;✔;\-;\-;\-;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-
0xD2F2;:ref:`CrControlCode_SetPresetInfoZoomOnlyValue<cc-SetPresetInfoZoomOnlyValue>`;\-;Set PresetInfo ZoomOnly Value;R/T;\-;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;\-;\-;\-;\-;\-;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;\-;\-
0xD2F3;:ref:`CrControlCode_RECSettingsReset<cc-RECSettingsReset>`;:ref:`CrCommandId_CameraSettingsReset<command-CameraSettingsReset>`;REC Settings Reset;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;\-;\-;\-;\-;\-;✔;✔;✔;\-
0xD2F6;:ref:`CrControlCode_ContinuousShootingSpotBoostButton<cc-ContinuousShootingSpotBoostButton>`;:ref:`CrCommandId_ContinuousShootingSpotBoost<command-ContinuousShootingSpotBoost>`;ContShootSpotBoost Button;R/T;\-;✔;\-;✔;\-;\-;\-;\-;\-;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-
0xD2F7;:ref:`CrControlCode_RemoteKeyCancelBackButton<cc-RemoteKeyCancelBackButton>`;:ref:`CrCommandId_RemoteKeyCancelBackButton<command-RemoteKeyCancelBackButton>`;Remote Key Cancel Back Button;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;\-;✔;✔;✔;\-;\-;\-;\-
