No.;APIs;Outline;Mode;ILX-LR1;ILCE-1M2;ILCE-1;ILCE-9M3;ILCE-9M2;ILCE-7RM5;ILCE-7RM4A;ILCE-7RM4;ILCE-7CR;ILCE-7SM3;ILCE-7M5;ILCE-7M4;ILCE-7CM2;ILCE-7C;ILCE-6700;MPC-2610;ILME-FX6;ILME-FX2;ILME-FX3A;ILME-FX3;ILME-FX30;PXW-Z300;PXW-Z200;HXR-NX800;BRC-AM7;ILME-FR7;ZV-E1;ZV-E10M2;DSC-RX1RM3;DSC-RX0M2
91;:ref:`RequestTimeZoneSetting<api-request-time-zone-setting>`;Request the TimeZone Settings in camera.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;\-
92;:ref:`GetTimeZoneSetting<api-get-time-zone-setting>`;Get the TImeZone Settings in camera.;R/T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;\-
93;:ref:`DeleteRemoteTransferContentsFile<api-delete-remote-transfer-contents-file>`;Delete Contents in camera.;T;✔;✔;✔;✔;\-;✔;\-;\-;✔;✔;✔;✔;✔;\-;✔;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-
94;:ref:`UploadSceneFile<api-upload-scene-file>`;Upload the Scene file.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
95;:ref:`DownloadSceneFile<api-download-scene-file>`;Download the Scene file.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
96;:ref:`ExecuteEframing<api-execute-eframing>`;Execute the Eframing by Absolute position.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-;\-;\-
97;:ref:`UpdateEframingArea<api-update-eframing-area>`;Execute the Eframing by Relative position and size.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;✔;✔;✔;\-;\-;\-;\-;\-;\-
98;:ref:`RequestStreamSettingList<api-request-stream-setting-list>`;Request the Stream setting lists.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
99;:ref:`GetStreamSettingList<api-get-stream-setting-list>`;Get the Stream setting lists.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
100;:ref:`ReleaseStreamSettingList<api-release-stream-setting-list>`;Release the CrVideoStreamSetting objects allocated by GetStreamSettingList.;R/T;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;\-;✔;✔;✔;\-;\-;\-;\-;\-;\-
